file,name,rw,bw_MB_s,iops,avg_lat_ns,p95_ns,p99_ns,p99.9_ns
precondition.json,precond,write,2171.807942390442,17374.463546,57323.217358,,,
rand_mix_50r.json,job,read,57.95136547088623,14835.549778,581875.815246,,,
rand_mix_70r.json,job,read,93.14155578613281,23844.238525,497420.005005,,,
rand_read_100.json,job,read,195.3337230682373,50005.433152,338318.929379,,,
rand_write_100.json,job,read,5.5591888427734375,1423.152562,701712.923927,,,
randread_4k_qd1.json,job,read,152.7344913482666,39100.029999,50724.625759,,,
randread_bs_128k.json,job,read,2296.3061380386353,19781.773941,858032.023361,,,
randread_bs_16k.json,job,read,583.9223327636719,39277.890737,431342.57826,,,
randread_bs_256k.json,job,read,3226.8672971725464,13915.172322,1220567.13447,,,
randread_bs_32k.json,job,read,903.4129848480225,30659.478017,552475.627164,,,
randread_bs_4k.json,job,read,194.0549898147583,49678.077397,340512.381977,,,
randread_bs_64k.json,job,read,1466.456847190857,25180.127329,673780.90992,,,
randread_qd1.json,job,read,145.4874677658081,37244.79184,53261.423812,,,
randread_qd16.json,job,read,190.71408462524414,48822.805906,346075.955823,,,
randread_qd2.json,job,read,169.17860507965088,43309.723009,68648.014561,,,
randread_qd32.json,job,read,189.21035957336426,48437.852072,349298.18385,,,
randread_qd4.json,job,read,188.01469612121582,48131.762275,102468.314773,,,
randread_qd64.json,job,read,185.99158668518066,47613.846205,355370.778242,,,
randread_qd8.json,job,read,191.3130235671997,48976.134129,182446.769384,,,
randwrite_4k_qd1.json,job,read,101.90311336517334,26087.197093,38014.829258,,,
seqread_128k_qd1.json,job,read,714.2955904006958,31879.204027,62429.364874,,,
seqread_bs_128k.json,job,read,2667.2019786834717,22895.636812,741199.159402,,,
seqread_bs_16k.json,job,read,559.1762819290161,37436.452118,451939.767489,,,
seqread_bs_256k.json,job,read,4111.953949928284,17724.409186,958197.987776,,,
seqread_bs_32k.json,job,read,770.1529731750488,25942.301923,653043.127606,,,
seqread_bs_4k.json,job,read,253.0123987197876,64771.174294,260148.79014,,,
seqread_bs_64k.json,job,read,1633.0904846191406,28026.165794,605401.826565,,,
seqwrite_128k_qd1.json,job,read,85.49116039276123,21885.737142,45382.665696,,,
tail_randread.json,job,read,129.11016845703125,33052.203159,78225.41216,,,
tail_randwrite.json,job,read,109.76779747009277,28100.556331,35368.774506,,,
